Month,Consumer_Price_Index,Mobile_Internet_Access_Traffic,National_Fiscal_Expenditure,Money_and_Quasi_Money_Supply,Cumulative_Growth_of_Fixed_Asset_Investment
01/03/2022,101.5,2140664.8,63587,2497688.34,9.3
01/02/2022,100.9,1741296.9,38227,2441488.9,12.2
01/12/2021,101.5,2081781.7,246322,2431022.72,4.9
01/11/2021,102.3,1982336.5,213924,2382899.56,5.2
01/10/2021,101.5,2023571.3,193961,2356012.76,6.1
01/09/2021,100.7,1876718.1,179293,2336160.48,7.3
01/08/2021,100.8,1919249.6,155371,2342829.7,8.9
01/07/2021,101,1953696,137928,2312267.68,10.3
01/06/2021,101.1,1864862,121676,2302153.82,12.6
01/05/2021,101.3,1870461.8,93553,2317788.36,15.4
01/04/2021,100.9,1767375.3,76396,2275538.07,19.9
01/03/2021,100.4,1729733.7,58703,2262107.12,25.6
01/02/2021,99.8,1467011.7,35732.5,2276488.45,35
01/12/2020,100.2,1606629.8,245588,2236030.26,2.9
01/11/2020,99.5,1570852.6,207846,2213047.33,2.6
01/10/2020,100.5,1540860.5,189439,2186795.89,1.8
01/09/2020,101.7,1450919.9,175185,2172002.55,0.8
01/08/2020,102.4,1496519.6,149925,2149720.42,-0.3
01/07/2020,102.7,1443140.3,133499,2164084.8,-1.6
01/06/2020,102.5,1339491.6,116411,2136836.91,-3.1
01/05/2020,102.4,1320638.7,90281,2125458.46,-6.3
01/04/2020,103.3,1222031.2,73595.9,2134948.66,-10.3
01/03/2020,104.3,1218060.7,55284,2100183.74,-16.1
01/02/2020,105.2,1144071.1,32350,2093533.83,-24.5
01/12/2019,104.5,1128928.7,238874,2080923.41,5.4
01/11/2019,104.5,1082680.1,206463,2030830.42,5.2
01/10/2019,103.8,1117694.3,190587,2023066.49,5.2
01/09/2019,103,1101587.6,178612,1986488.82,5.4
01/08/2019,102.8,1137459.7,153069,1961429.56,5.5
01/07/2019,102.8,1091856.4,137963,1945600.55,5.7
01/06/2019,102.7,1021545,123538,1952250.49,5.8
01/05/2019,102.7,1011397,93023,1935492.43,5.6
