"Month","Consumer_Price_Index","Mobile_Internet_Access_Traffic","National_Fiscal_Expenditure","Money_and_Quasi_Money_Supply","Cumulative_Growth_of_Fixed_Asset_Investment","Consumer_Price_Index_scaled"
2022-03-01,101.5,2140664.8,63587,2497688.34,9.3,0.4
2022-02-01,100.9,1741296.9,38227,2441488.9,12.2,0.280000000000001
2021-12-01,101.5,2081781.7,246322,2431022.72,4.9,0.4
2021-11-01,102.3,1982336.5,213924,2382899.56,5.2,0.559999999999999
2021-10-01,101.5,2023571.3,193961,2356012.76,6.1,0.4
2021-09-01,100.7,1876718.1,179293,2336160.48,7.3,0.240000000000001
2021-08-01,100.8,1919249.6,155371,2342829.7,8.9,0.259999999999999
2021-07-01,101,1953696,137928,2312267.68,10.3,0.3
2021-06-01,101.1,1864862,121676,2302153.82,12.6,0.319999999999999
2021-05-01,101.3,1870461.8,93553,2317788.36,15.4,0.359999999999999
2021-04-01,100.9,1767375.3,76396,2275538.07,19.9,0.280000000000001
2020-12-01,100.2,1606629.8,245588,2236030.26,2.9,0.140000000000001
2020-11-01,99.5,1570852.6,207846,2213047.33,2.6,0
2020-10-01,100.5,1540860.5,189439,2186795.89,1.8,0.2
2020-09-01,101.7,1450919.9,175185,2172002.55,0.8,0.440000000000001
2020-08-01,102.4,1496519.6,149925,2149720.42,-0.3,0.580000000000001
2020-07-01,102.7,1443140.3,133499,2164084.8,-1.6,0.640000000000001
2020-06-01,102.5,1339491.6,116411,2136836.91,-3.1,0.6
2020-05-01,102.4,1320638.7,90281,2125458.46,-6.3,0.580000000000001
2019-12-01,104.5,1128928.7,238874,2080923.41,5.4,1
2019-11-01,104.5,1082680.1,206463,2030830.42,5.2,1
2019-10-01,103.8,1117694.3,190587,2023066.49,5.2,0.859999999999999
2019-09-01,103,1101587.6,178612,1986488.82,5.4,0.7
2019-08-01,102.8,1137459.7,153069,1961429.56,5.5,0.659999999999999
2019-07-01,102.8,1091856.4,137963,1945600.55,5.7,0.659999999999999
2019-06-01,102.7,1021545,123538,1952250.49,5.8,0.640000000000001
2019-05-01,102.7,1011397,93023,1935492.43,5.6,0.640000000000001
