Database Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month£ºLATEST36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicators,01/03/2024,01/02/2024,01/01/2024,01/12/2023,01/11/2023,01/10/2023,01/09/2023,01/08/2023,01/07/2023,01/06/2023,01/05/2023,01/04/2023,01/03/2023,01/02/2023,01/01/2023,01/12/2022,01/11/2022,01/10/2022,01/09/2022,01/08/2022,01/07/2022,01/06/2022,01/05/2022,01/04/2022,01/03/2022,01/02/2022,01/01/2022,01/12/2021,01/11/2021,01/10/2021,01/09/2021,01/08/2021,01/07/2021,01/06/2021,01/05/2021,01/04/2021
Consumer Price Index (The same month last year=100),100.1,100.7,99.2,99.7,99.5,99.8,100,100.1,99.7,100,100.2,100.1,100.7,101,102.1,101.8,101.6,102.1,102.8,102.5,102.7,102.5,102.1,102.1,101.5,100.9,100.9,101.5,102.3,101.5,100.7,100.8,101,101.1,101.3,100.9
Consumer Price Indices (The same month last year=100) Food&Tobacco,98.6,99.9,96.4,98,97.8,97.9,98.5,99.5,99.5,102,101.2,100.8,102.1,102.1,104.7,103.7,103,105.2,106.3,104.5,104.7,102.5,102.1,101.9,99.7,98.2,98.2,99.9,101.7,99.1,97.2,98,98.2,99.6,100.8,100.1
Consumer Price Indices (The same month last year=100) Clothing,101.6,101.6,101.6,101.4,101.3,101.1,101.1,101.1,101,100.9,100.9,100.9,100.8,100.7,100.5,100.5,100.5,100.5,100.5,100.6,100.7,100.6,100.5,100.5,100.6,100.6,100.4,100.6,100.5,100.5,100.5,100.5,100.4,100.4,100.4,100.2
Consumer Price Indices (The same month last year=100) Residence,100.2,100.2,100.3,100.3,100.3,100.3,100.2,100.1,100.1,100,99.8,99.8,99.7,99.9,99.9,99.8,99.8,99.8,100.3,100.6,100.7,100.8,101,101.2,101.3,101.4,101.4,101.6,101.7,101.7,101.3,101.1,101.1,100.9,100.7,100.4
Consumer Price Indices (The same month last year=100) Household Articles and Services,101,100.5,101,100,99.5,99.4,99.6,99.5,99.8,99.5,99.9,100.1,100.7,101.4,101.6,101.5,101.5,101.4,101.4,101.3,101.4,101.5,101.4,101.2,100.9,100.6,100.4,100.8,100.5,100.9,100.5,100.6,100.3,100.3,100.4,100.4
Consumer Price Indices (The same month last year=100) Transportation and Communication,98.7,99.6,97.6,97.8,97.6,99.1,98.7,97.9,95.3,93.5,96.1,96.7,98.1,100.1,102,102.8,102.9,103.1,104.5,104.9,106.1,108.5,106.2,106.5,105.8,105.5,105.2,105,107.6,107,105.8,105.9,106.9,105.8,105.5,104.9
Consumer Price Indices (The same month last year=100) Education Culture and Recreation,101.8,103.9,101.3,101.8,101.8,102.3,102.5,102.5,102.4,101.5,101.7,101.9,101.4,101.2,102.4,101.4,101.3,101.2,101.2,101.6,101.5,102.1,101.8,102,102.6,102.5,102.9,103.1,103,102.9,103.2,103,102.7,101.5,101.5,101.3
Consumer Price Indices (The same month last year=100) Health Cares,101.5,101.5,101.3,101.4,101.3,101.3,101.3,101.2,101.2,101.1,101.1,101,101,101,100.8,100.6,100.5,100.5,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.6,100.6,100.7,100.6,100.6,100.4,100.4,100.4,100.3,100.2,100.1
Consumer Price Indices (The same month last year=100) Miscellanous Goods and Services,102.7,103,102.9,102.9,103,103.6,103.9,103.8,104.1,102.4,103.1,103.5,102.5,102.6,103.1,102.8,102.3,101.9,101.6,102.2,100.9,101.7,101.8,101.7,102.1,100.3,99.9,99.5,99.4,99.5,97.2,96.1,98.7,99.1,99.1,98.7
"Note:1.According to the regulations of the statistical system, China?s CPI rotates at a base period every five years. After each base period rotation, the survey classification catalogue, representative specifications and survey outlets are adjusted, and the classification weights are also changed to reflect the latest changes in the residents'' consumption structure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¡¡¡¡¡¡2.The CPI compiled and released from January 2016 to December 2020 was based on 2015. Compared with the previous base periods , the eight categories of this base period have significant changes. Among them, ""Food"", ""Tobacco and Alcohol"" are merged into ""Food, Tobacco and Alcohol"", ""Health Care and Personal Articles"" is split into ""Household Articles and Services"", ""Health Care"" and ""Miscellanous Goods and Services"", ""Recreation, Education, Cultural Articles"" is split into ""Education, Culture and Recreation"" and ""Miscellanous Goods and Services"",  ""Household Facilities, Articles and Services"" is split into ""Articles for Daily Use and Services"" and ""Miscellanous Goods and Services"". In addition, the index connotation of ""Food"" has changed. The ""Food"" in the previous base periods is a broad category, including grain, meat and poultry, fresh vegetables, fresh fruits, aquatic products, tea and beverages, and dining out; this base period ""Food"" is the medium category under the ""Food, Tobacco and Alcohol"" category, which only includes grain, livestock meat, poultry meat, fresh vegetables, fresh fruits, aquatic products, etc., and no longer includes ""tea and beverages"" and ""dining out"" .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¡¡¡¡¡¡3.From January 2021, the CPI based on 2020 is compiled and released. This new base period is still divided into eight categories:""Food, Tobacco and Alcohol"", ""Clothing"",""Residence"", ""Household Articles and Services"","" Transportation and Communication"", ""Education, Culture and Recreation"", ""Health Care"", ""Miscellanous Goods and Services"", and the basic category has increased to 268.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
