Database: Monthly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: Last 36 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicators,01/03/2022,01/02/2022,01/12/2021,01/11/2021,01/10/2021,01/09/2021,01/08/2021,01/07/2021,01/06/2021,01/05/2021,01/04/2021,01/03/2021,01/02/2021,01/12/2020,01/11/2020,01/10/2020,01/09/2020,01/08/2020,01/07/2020,01/06/2020,01/05/2020,01/04/2020,01/03/2020,01/02/2020,01/12/2019,01/11/2019,01/10/2019,01/09/2019,01/08/2019,01/07/2019,01/06/2019,01/05/2019
Landline Outgoing Call Duration (including IP) Current Value (Ten Thousand Minutes),763362.3,532618.5,797799.4,784406.4,706151.7,772628.1,791122.2,811319.6,797005.2,786118.6,827530.9,877187.4,553567.4,877830.4,861309.1,810071.9,907227.4,878107.7,943438.9,934801.4,911837.9,952189.9,887726.2,539165.7,999054.7,965085.3,921416.8,973595.4,1001014.9,1052969.5,979808.8,1049043.7
Landline Outgoing Call Duration (including IP) Cumulative Value (Ten Thousand Minutes),1969579,1206216.7,9333880.5,8536081.2,7751674.8,7045523.1,6272894.9,5481772.7,4670453.1,3873447.9,3087329.4,2259798.5,1382611,10259531.4,9381701,8520391.9,7710320,6803092.7,5924985,4981546.1,4046744.7,3134906.7,2182716.8,1294990.6,12054742.8,11055688.1,10090602.8,9169186,8195590.6,7194575.7,6141606.3,5161797.5
Landline Outgoing Call Duration (including IP) Year-on-Year Growth (%),-13,-3.8,-9.1,-8.9,-12.8,-14.8,-9.9,-14,-14.7,-13.8,-13.1,-1.2,2.7,-12.1,-10.8,-12.1,-6.8,-12.3,-10.4,-4.6,-13.1,-13.8,-22.6,-27.8,-14.9,-17.4,-16.7,-18,-20.4,-19.6,-22.3,-22.5
Landline Outgoing Call Duration (including IP) Cumulative Growth (%),-12.8,-12.8,-9,-9,-9,-8.6,-7.8,-7.5,-6.2,-4.3,-1.5,3.5,6.8,-14.9,-15.1,-15.6,-15.9,-17,-17.7,-18.9,-21.6,-23.8,-27.4,-30.4,-18.6,-18.9,-19.1,-19.3,-19.5,-19.3,-19.3,-18.7
Mobile Phone Call Duration Current Value (Ten Thousand Minutes),39603178,31345032.4,38753394.5,38133555.5,38486216.4,39178608.6,38548941.1,39418249.9,38504410.9,38974641.5,38179746.8,39361860.8,31100175.3,38578587.2,38211863.7,38923389.4,40018495.9,39353789.2,39880199.8,38954759.5,39920477,38953390.7,36229869.8,24298113.6,39239379.8,38861889.3,39520822,40326625.3,40325016.1,40993915.5,40016679.9,41245170.5
Mobile Phone Call Duration Cumulative Value (Ten Thousand Minutes),109205962.5,69602784.5,455920145.8,417166751.4,379033195.9,340546979.5,301368370.9,262819429.8,223401180,184896769.1,145922127.6,107742380.8,68380520,449645268.3,411066681,372854817.3,333931427.9,293912932,254559142.7,214678943,175724183.5,135803706.5,96850315.8,60620445.9,478261750.1,439022370.3,400160481.1,360639659.1,320313033.8,279988017.7,238994102.2,198977422.3
Mobile Phone Call Duration Year-on-Year Growth (%),0.6,0.8,0.5,-0.2,-1.1,-2.1,-2.1,-1.2,-1.2,-2.4,-2,8.6,28,-1.7,-1.7,-1.5,-0.8,-2.4,-2.7,-2.7,-3.2,-5.1,-14,-27,-4.6,-5.3,-5.9,-5.9,-6.3,-6,-7.5,-7.8
Mobile Phone Call Duration Cumulative Growth (%),1.4,1.8,1.4,1.5,1.7,2,2.5,3.2,4.1,5.2,7.5,11.3,12.8,-6,-6.4,-6.8,-7.4,-8.2,-9.1,-10.2,-11.7,-13.9,-17,-18.7,-6.5,-6.6,-6.7,-6.8,-7,-7.1,-7.2,-7.2
Number of Fixed-Line Telephone Subscribers at Period End (Ten Thousand),18172.8,18127.2,18070.1,18065.8,18082.4,18121.2,18140.1,18144.1,18164.8,18136.8,18154.1,18166,18164.7,18190.8,18205.2,18228.3,18318.5,18426,18618,18748.9,18845.7,18983.6,18948.8,18999.4,19103.3,19083,19129.6,19190.1,19166.2,19235.4,19207.4,19227.1
Fixed-Line Telephone Subscribers Year-on-Year Growth (%),0,-0.2,-0.7,-0.8,-0.8,-1.1,-1.6,-2.6,-3.1,-3.8,-4.4,-4.1,-4.4,-4.8,-4.6,-4.7,-4.5,-3.9,-3.2,-2.4,-2,-1.5,-1.8,-0.1,4.8,4,3.9,3.5,2.9,2.8,2,1.5
